               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,            0.078757,              0.1926,                   0,             0.99914,                   1,               0.995,             0.22299,            0.065389,             0.17429,                   0,           0.0051384,           0.0051384,            0.046738
                  39,             0.07146,             0.17839,                   0,                   1,             0.99997,               0.995,             0.52536,            0.058243,             0.14845,                   0,           0.0052342,           0.0052342,            0.045334
                  40,            0.068778,             0.16263,                   0,             0.30843,                0.75,             0.30673,            0.085579,            0.093681,              0.1806,                   0,           0.0053274,           0.0053274,            0.043927
                  41,            0.088627,               0.147,                   0,             0.30843,                0.75,             0.30673,            0.085579,            0.093681,              0.1806,                   0,            0.005418,            0.005418,            0.042518
                  42,            0.086423,              0.1583,                   0,             0.86758,             0.81936,              0.9253,             0.51733,            0.083147,             0.14098,                   0,            0.005506,            0.005506,            0.041106
                  43,            0.085542,             0.14218,                   0,             0.52044,             0.99492,             0.57983,             0.29462,            0.083436,             0.13798,                   0,           0.0055913,           0.0055913,            0.039691
                  44,            0.086733,             0.13046,                   0,             0.52044,             0.99492,             0.57983,             0.29462,            0.083436,             0.13798,                   0,            0.005674,            0.005674,            0.038274
                  45,            0.085521,             0.13961,                   0,             0.78014,             0.91667,             0.87992,             0.40185,            0.079507,             0.13587,                   0,           0.0057539,           0.0057539,            0.036854
                  46,            0.083998,             0.14119,                   0,             0.55086,             0.86888,             0.69511,             0.16487,            0.088441,             0.13938,                   0,           0.0058311,           0.0058311,            0.035431
                  47,             0.08543,             0.12634,                   0,             0.55086,             0.86888,             0.69511,             0.16487,            0.088441,             0.13967,                   0,           0.0059056,           0.0059056,            0.034006
                  48,             0.09213,             0.16515,                   0,             0.90056,             0.83333,             0.88072,             0.20612,             0.08455,             0.13104,                   0,           0.0059772,           0.0059772,            0.032577
                  49,            0.086154,             0.12747,                   0,             0.56662,             0.87171,             0.72292,             0.18321,            0.095667,             0.12682,                   0,            0.006046,            0.006046,            0.031146
                  50,            0.094959,             0.14752,                   0,             0.56662,             0.87171,             0.72292,             0.18321,            0.095667,             0.12682,                   0,            0.006112,            0.006112,            0.029712
                  51,            0.092656,             0.14078,                   0,             0.99985,                   1,               0.995,             0.45163,            0.083425,             0.13599,                   0,           0.0061751,           0.0061751,            0.028275
                  52,            0.086296,             0.14332,                   0,             0.99985,                   1,               0.995,             0.45163,            0.083425,             0.13565,                   0,           0.0062354,           0.0062354,            0.026835
                  53,            0.083616,             0.15407,                   0,             0.99993,                   1,               0.995,             0.52551,            0.077578,             0.13965,                   0,           0.0062928,           0.0062928,            0.025393
                  54,            0.079697,             0.14715,                   0,             0.99993,                   1,               0.995,             0.52551,            0.077578,             0.13965,                   0,           0.0063474,           0.0063474,            0.023947
                  55,            0.081586,             0.14006,                   0,             0.99969,                   1,               0.995,             0.60884,            0.073591,             0.14555,                   0,            0.006399,            0.006399,            0.022499
                  56,            0.080321,             0.15138,                   0,              0.4641,             0.83333,             0.45012,            0.095315,            0.072161,             0.14848,                   0,           0.0064478,           0.0064478,            0.021048
                  57,            0.080216,             0.15946,                   0,              0.4641,             0.83333,             0.45012,            0.095315,            0.072161,             0.14848,                   0,           0.0064936,           0.0064936,            0.019594
                  58,            0.081851,             0.16088,                   0,             0.56567,               0.875,             0.61664,             0.14893,            0.067746,             0.14092,                   0,           0.0065366,           0.0065366,            0.018137
                  59,            0.078156,             0.15559,                   0,             0.56567,               0.875,             0.61664,             0.14893,            0.067746,             0.14026,                   0,           0.0065766,           0.0065766,            0.016677
                  60,            0.074628,             0.13823,                   0,             0.67804,             0.78979,             0.71924,             0.14706,            0.074789,             0.13797,                   0,           0.0066138,           0.0066138,            0.015214
                  61,            0.077828,             0.16458,                   0,             0.67804,             0.78979,             0.71924,             0.14706,            0.074789,             0.13797,                   0,            0.006648,            0.006648,            0.013748
                  62,            0.076919,             0.15017,                   0,              0.8389,               0.875,             0.89522,             0.38101,            0.057157,             0.13203,                   0,           0.0066794,           0.0066794,            0.012279
                  63,            0.068883,             0.13622,                   0,              0.8389,               0.875,             0.89522,             0.38101,            0.057157,             0.13203,                   0,            0.006708,            0.006708,            0.010808
                  64,            0.072763,             0.16769,                   0,             0.29199,             0.91081,             0.28799,            0.051136,            0.070675,             0.14661,                   0,           0.0067337,           0.0067337,           0.0093337
                  65,            0.077834,              0.1533,                   0,             0.29199,             0.91081,             0.28799,            0.051136,            0.070675,             0.14687,                   0,           0.0067565,           0.0067565,           0.0078565
                  66,            0.078652,             0.16775,                   0,             0.73327,             0.91637,             0.85057,              0.2391,            0.068211,             0.14043,                   0,           0.0067495,           0.0067495,           0.0067495
                  67,            0.073141,             0.16436,                   0,             0.73327,             0.91637,             0.85057,              0.2391,            0.068211,             0.14043,                   0,           0.0067495,           0.0067495,           0.0067495
                  68,            0.072178,             0.16113,                   0,             0.73327,             0.91637,             0.85057,              0.2391,            0.068211,             0.14043,                   0,           0.0066671,           0.0066671,           0.0066671
                  69,            0.076391,             0.16196,                   0,             0.37786,             0.91667,             0.56681,             0.13362,            0.076471,             0.15135,                   0,           0.0065843,           0.0065843,           0.0065843
