               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,             0.15316,            0.022233,                   0,             0.14649,             0.22917,            0.092288,            0.015744,             0.14735,            0.019006,                   0,           0.0057737,           0.0057737,            0.047374
                  39,             0.14933,             0.02571,                   0,             0.18652,             0.16071,            0.084138,            0.014049,             0.14687,            0.019245,                   0,           0.0059184,           0.0059184,            0.046018
                  40,             0.14788,            0.028081,                   0,             0.14674,             0.20833,            0.080651,            0.014626,             0.14659,            0.019314,                   0,           0.0060628,           0.0060628,            0.044663
                  41,             0.14922,            0.031173,                   0,             0.14674,             0.20833,            0.080651,            0.014626,             0.14659,            0.019287,                   0,            0.006207,            0.006207,            0.043307
                  42,             0.15026,             0.02226,                   0,             0.15253,             0.22619,            0.085768,            0.015492,             0.14654,            0.019664,                   0,           0.0063508,           0.0063508,            0.041951
                  43,              0.1507,            0.026477,                   0,             0.17236,             0.25893,             0.09902,            0.018129,             0.14631,            0.019583,                   0,           0.0064944,           0.0064944,            0.040594
                  44,             0.14757,            0.025296,                   0,             0.17236,             0.25893,             0.09902,            0.018129,             0.14631,            0.019599,                   0,           0.0066376,           0.0066376,            0.039238
                  45,             0.15106,            0.022829,                   0,             0.16625,             0.23512,            0.086788,            0.015799,             0.14608,            0.019272,                   0,           0.0067806,           0.0067806,            0.037881
                  46,             0.15184,            0.030231,                   0,             0.18598,              0.2645,             0.10762,            0.021253,             0.14689,            0.019625,                   0,           0.0069232,           0.0069232,            0.036523
                  47,              0.1461,            0.027201,                   0,             0.18598,              0.2645,             0.10762,            0.021253,             0.14689,            0.019616,                   0,           0.0070655,           0.0070655,            0.035166
                  48,             0.15361,            0.022142,                   0,             0.17462,             0.24405,             0.10842,            0.018942,             0.14636,            0.019046,                   0,           0.0072075,           0.0072075,            0.033807
                  49,             0.14878,            0.029437,                   0,             0.17388,             0.24702,              0.1054,             0.01918,             0.14544,            0.018682,                   0,           0.0073491,           0.0073491,            0.032449
                  50,             0.14954,            0.026161,                   0,             0.17388,             0.24702,              0.1054,             0.01918,             0.14544,            0.018687,                   0,           0.0074904,           0.0074904,             0.03109
                  51,             0.14945,            0.026572,                   0,              0.1936,             0.25298,              0.1108,            0.020694,             0.14518,            0.018468,                   0,           0.0076314,           0.0076314,            0.029731
                  52,             0.14669,            0.028846,                   0,              0.1936,             0.25298,              0.1108,            0.020694,             0.14518,            0.018441,                   0,            0.007772,            0.007772,            0.028372
                  53,              0.1505,            0.024938,                   0,             0.18385,             0.21131,            0.087484,            0.016771,             0.14418,            0.018459,                   0,           0.0079122,           0.0079122,            0.027012
                  54,             0.14889,            0.027802,                   0,             0.18385,             0.21131,            0.087484,            0.016771,             0.14418,            0.018502,                   0,           0.0080521,           0.0080521,            0.025652
                  55,             0.14634,            0.033419,                   0,             0.16675,              0.2381,            0.091295,            0.018499,             0.14427,             0.01836,                   0,           0.0081916,           0.0081916,            0.024292
                  56,             0.14965,             0.02684,                   0,             0.19343,             0.20536,            0.091821,            0.019435,             0.14397,            0.018179,                   0,           0.0083307,           0.0083307,            0.022931
                  57,             0.14833,            0.026271,                   0,             0.19343,             0.20536,            0.091821,            0.019435,             0.14397,            0.018149,                   0,           0.0084694,           0.0084694,            0.021569
                  58,             0.14977,            0.023929,                   0,              0.2343,             0.18452,             0.10012,             0.01887,             0.14318,            0.017793,                   0,           0.0086078,           0.0086078,            0.020208
                  59,             0.15012,              0.0228,                   0,              0.2343,             0.18452,             0.10012,             0.01887,             0.14318,            0.017798,                   0,           0.0087457,           0.0087457,            0.018846
                  60,             0.14633,            0.028866,                   0,             0.21608,             0.20755,            0.098216,            0.019578,             0.14293,            0.017647,                   0,           0.0088833,           0.0088833,            0.017483
                  61,             0.14877,            0.025784,                   0,             0.21608,             0.20755,            0.098216,            0.019578,             0.14293,            0.017678,                   0,           0.0090204,           0.0090204,             0.01612
                  62,              0.1491,            0.024641,                   0,             0.26006,              0.1994,             0.11936,            0.025078,             0.14334,             0.01753,                   0,           0.0091571,           0.0091571,            0.014757
                  63,              0.1495,            0.022148,                   0,             0.26006,              0.1994,             0.11936,            0.025078,             0.14334,            0.017585,                   0,           0.0092934,           0.0092934,            0.013393
                  64,             0.15001,            0.025278,                   0,             0.23505,             0.19345,             0.10627,            0.024013,             0.14303,            0.017641,                   0,           0.0094292,           0.0094292,            0.012029
                  65,             0.14779,            0.025457,                   0,             0.23505,             0.19345,             0.10627,            0.024013,             0.14303,            0.017599,                   0,           0.0095646,           0.0095646,            0.010665
                  66,              0.1466,            0.023889,                   0,             0.22579,             0.21131,            0.094598,            0.022374,              0.1423,            0.017657,                   0,            0.009661,            0.009661,            0.009661
                  67,              0.1473,            0.024107,                   0,             0.22579,             0.21131,            0.094598,            0.022374,              0.1423,            0.017627,                   0,            0.009661,            0.009661,            0.009661
                  68,             0.14926,            0.022371,                   0,             0.22579,             0.21131,            0.094598,            0.022374,              0.1423,            0.017637,                   0,           0.0096508,           0.0096508,           0.0096508
                  69,             0.14939,            0.024559,                   0,             0.21197,             0.21429,            0.095833,            0.021756,             0.14227,            0.017629,                   0,           0.0096404,           0.0096404,           0.0096404
                  70,             0.15084,            0.026125,                   0,             0.21197,             0.21429,            0.095833,            0.021756,             0.14227,             0.01763,                   0,           0.0096299,           0.0096299,           0.0096299
                  71,             0.14695,            0.024704,                   0,             0.28224,             0.18725,             0.11368,            0.025318,             0.14231,            0.017651,                   0,           0.0096193,           0.0096193,           0.0096193
                  72,             0.14807,            0.025063,                   0,             0.28224,             0.18725,             0.11368,            0.025318,             0.14231,            0.017644,                   0,           0.0096085,           0.0096085,           0.0096085
                  73,             0.14603,            0.028915,                   0,             0.27797,             0.19048,             0.12095,            0.024802,             0.14222,            0.017726,                   0,           0.0095976,           0.0095976,           0.0095976
                  74,             0.14448,            0.029378,                   0,             0.27797,             0.19048,             0.12095,            0.024802,             0.14222,            0.017695,                   0,           0.0095866,           0.0095866,           0.0095866
                  75,             0.14729,            0.024187,                   0,               0.376,             0.17262,             0.10426,            0.022055,             0.14212,            0.017973,                   0,           0.0095754,           0.0095754,           0.0095754
                  76,              0.1468,            0.026264,                   0,               0.376,             0.17262,             0.10426,            0.022055,             0.14212,            0.017971,                   0,            0.009564,            0.009564,            0.009564
                  77,             0.14941,            0.021147,                   0,             0.29846,             0.17857,              0.1045,            0.024145,              0.1418,            0.017961,                   0,           0.0095525,           0.0095525,           0.0095525
                  78,             0.14387,            0.026775,                   0,             0.29846,             0.17857,              0.1045,            0.024145,              0.1418,            0.017958,                   0,           0.0095409,           0.0095409,           0.0095409
                  79,             0.14628,            0.027958,                   0,             0.28536,              0.1875,               0.114,            0.027566,             0.14159,            0.017774,                   0,           0.0095292,           0.0095292,           0.0095292
                  80,             0.14516,            0.032133,                   0,             0.28536,              0.1875,               0.114,            0.027566,             0.14159,            0.017778,                   0,           0.0095173,           0.0095173,           0.0095173
                  81,             0.14795,            0.026427,                   0,             0.36744,             0.18671,             0.13557,            0.030532,             0.14168,            0.017883,                   0,           0.0095052,           0.0095052,           0.0095052
                  82,             0.14818,            0.024698,                   0,             0.36744,             0.18671,             0.13557,            0.030532,             0.14168,            0.017881,                   0,            0.009493,            0.009493,            0.009493
                  83,             0.14613,             0.02455,                   0,             0.37292,             0.18452,             0.13088,            0.032965,             0.14142,             0.01795,                   0,           0.0094807,           0.0094807,           0.0094807
                  84,             0.14329,            0.033013,                   0,             0.37292,             0.18452,             0.13088,            0.032965,             0.14142,            0.017946,                   0,           0.0094683,           0.0094683,           0.0094683
                  85,             0.14615,            0.020766,                   0,             0.37292,             0.18452,             0.13088,            0.032965,             0.14142,             0.01795,                   0,           0.0094557,           0.0094557,           0.0094557
                  86,             0.14635,            0.025667,                   0,             0.39703,             0.20238,             0.15871,             0.03663,             0.14116,            0.017955,                   0,            0.009443,            0.009443,            0.009443
