               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.18405,            0.028518,                   0,            0.029744,            0.083333,            0.015531,           0.0032074,             0.17529,            0.022325,                   0,             0.00014,             0.00014,             0.09874
                   1,             0.18397,            0.032061,                   0,            0.031097,            0.098214,            0.015573,            0.003511,             0.17535,            0.023541,                   0,             0.00029,             0.00029,             0.09739
                   2,             0.17734,            0.052773,                   0,            0.031931,             0.12202,            0.018328,           0.0037667,             0.17494,            0.023749,                   0,             0.00044,             0.00044,             0.09604
                   3,             0.17803,            0.045108,                   0,            0.037918,            0.089286,             0.01762,           0.0044333,             0.17425,            0.025191,                   0,          0.00058999,          0.00058999,             0.09469
                   4,             0.17884,            0.036641,                   0,            0.038237,             0.10417,            0.019173,           0.0041533,             0.17337,            0.026176,                   0,          0.00073998,          0.00073998,             0.09334
                   5,             0.17909,            0.040586,                   0,            0.036627,             0.10119,            0.018615,           0.0048862,             0.17271,            0.026719,                   0,          0.00088996,          0.00088996,             0.09199
                   6,              0.1789,            0.035237,                   0,             0.03864,             0.10417,            0.020391,           0.0047265,             0.17162,            0.027709,                   0,           0.0010399,           0.0010399,             0.09064
                   7,             0.17863,            0.039017,                   0,            0.048366,            0.083333,             0.02261,           0.0049142,             0.17107,            0.027943,                   0,           0.0011899,           0.0011899,             0.08929
                   8,              0.1794,            0.037669,                   0,            0.045637,            0.095238,            0.021471,           0.0049439,             0.17014,            0.028404,                   0,           0.0013398,           0.0013398,             0.08794
                   9,             0.17621,            0.036601,                   0,             0.04242,             0.11607,            0.023498,            0.005466,              0.1691,            0.026424,                   0,           0.0014898,           0.0014898,             0.08659
                  10,             0.17382,            0.037817,                   0,            0.079426,            0.080357,            0.028894,           0.0066474,             0.16806,             0.02924,                   0,           0.0016397,           0.0016397,             0.08524
                  11,             0.17228,            0.046609,                   0,             0.06035,             0.13988,            0.030805,           0.0072816,             0.16684,            0.028327,                   0,           0.0017896,           0.0017896,             0.08389
                  12,             0.17281,            0.034435,                   0,            0.073078,             0.12202,            0.035607,           0.0076615,             0.16549,            0.027592,                   0,           0.0019394,           0.0019394,            0.082539
                  13,             0.17527,            0.040021,                   0,            0.095169,            0.095238,            0.033847,           0.0074064,             0.16447,             0.02767,                   0,           0.0020893,           0.0020893,            0.081189
                  14,             0.16854,             0.05186,                   0,              0.0913,            0.095238,            0.034313,           0.0074558,             0.16341,            0.027464,                   0,           0.0022391,           0.0022391,            0.079839
                  15,             0.16705,            0.045751,                   0,            0.091244,            0.089286,            0.031294,            0.007534,             0.16274,            0.029711,                   0,           0.0023889,           0.0023889,            0.078489
                  16,             0.16889,             0.03962,                   0,            0.090775,               0.125,            0.047622,            0.010606,             0.16108,             0.02496,                   0,           0.0025387,           0.0025387,            0.077139
                  17,             0.16855,            0.037874,                   0,            0.089089,               0.125,            0.045583,           0.0096913,             0.16078,            0.025432,                   0,           0.0026885,           0.0026885,            0.075788
                  18,             0.16521,            0.037866,                   0,            0.093341,              0.1756,            0.050607,            0.010124,             0.15959,            0.022104,                   0,           0.0028382,           0.0028382,            0.074438
                  19,             0.16287,            0.039505,                   0,             0.11555,             0.11012,            0.047903,           0.0093937,             0.15973,            0.026032,                   0,           0.0029879,           0.0029879,            0.073088
                  20,             0.16408,            0.036403,                   0,             0.14631,             0.11884,            0.060278,           0.0096633,             0.15833,            0.025557,                   0,           0.0031375,           0.0031375,            0.071738
