               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.18405,            0.028406,                   0,            0.030802,             0.08631,            0.015996,           0.0032549,             0.17529,            0.022369,                   0,             0.00014,             0.00014,             0.09874
                   1,             0.18397,            0.032416,                   0,            0.030107,            0.095238,            0.015565,           0.0034662,             0.17534,            0.023523,                   0,             0.00029,             0.00029,             0.09739
                   2,             0.17734,            0.052564,                   0,            0.033475,             0.10417,             0.01832,           0.0038095,             0.17494,            0.023716,                   0,             0.00044,             0.00044,             0.09604
                   3,             0.17803,            0.045245,                   0,             0.03798,            0.089286,            0.017637,           0.0043927,             0.17425,            0.025224,                   0,             0.00059,             0.00059,             0.09469
                   4,             0.17884,            0.036554,                   0,            0.038246,             0.10417,            0.019159,           0.0041504,             0.17338,            0.026209,                   0,             0.00074,             0.00074,             0.09334
                   5,              0.1791,            0.040454,                   0,            0.037623,             0.10417,            0.019105,           0.0050233,             0.17271,            0.026841,                   0,             0.00089,             0.00089,             0.09199
                   6,             0.17891,            0.035137,                   0,            0.038555,             0.10417,            0.020363,            0.004836,             0.17162,            0.027601,                   0,             0.00104,             0.00104,             0.09064
                   7,             0.17863,            0.038844,                   0,            0.045419,             0.10649,            0.023563,           0.0050043,             0.17107,            0.027879,                   0,             0.00119,             0.00119,             0.08929
                   8,              0.1794,            0.037635,                   0,            0.045562,            0.095238,            0.020981,           0.0049319,             0.17014,             0.02843,                   0,             0.00134,             0.00134,             0.08794
                   9,             0.17621,            0.036437,                   0,            0.043375,             0.11905,            0.024261,           0.0056096,              0.1691,            0.026322,                   0,             0.00149,             0.00149,             0.08659
                  10,             0.17382,            0.037735,                   0,            0.080367,            0.080357,            0.029443,           0.0067352,             0.16805,            0.029203,                   0,             0.00164,             0.00164,             0.08524
                  11,             0.17228,            0.046148,                   0,            0.059238,              0.1369,            0.030328,           0.0072136,             0.16684,            0.028485,                   0,             0.00179,             0.00179,             0.08389
                  12,              0.1728,            0.034343,                   0,             0.07391,             0.12202,            0.035733,           0.0074978,             0.16549,            0.027625,                   0,             0.00194,             0.00194,             0.08254
                  13,             0.17527,            0.039959,                   0,            0.090869,            0.092262,            0.032915,           0.0075708,             0.16447,            0.027712,                   0,             0.00209,             0.00209,             0.08119
                  14,             0.16855,            0.052065,                   0,            0.091305,            0.095238,            0.034417,           0.0075636,             0.16339,            0.027539,                   0,             0.00224,             0.00224,             0.07984
                  15,             0.16704,            0.045944,                   0,            0.094422,            0.092262,            0.032048,           0.0077028,             0.16271,            0.029698,                   0,             0.00239,             0.00239,             0.07849
                  16,             0.16888,            0.039498,                   0,            0.091201,               0.125,            0.046789,            0.010491,             0.16109,            0.025143,                   0,           0.0025399,           0.0025399,             0.07714
                  17,             0.16855,            0.037872,                   0,            0.080223,             0.16071,            0.046958,           0.0096938,             0.16079,            0.025577,                   0,           0.0026899,           0.0026899,             0.07579
                  18,             0.16522,            0.038062,                   0,             0.11509,             0.11905,            0.047867,           0.0099845,             0.15957,            0.022219,                   0,           0.0028399,           0.0028399,             0.07444
                  19,             0.16287,            0.039205,                   0,             0.11536,             0.11012,            0.046991,           0.0093503,              0.1597,            0.026039,                   0,           0.0029899,           0.0029899,             0.07309
                  20,             0.16408,            0.036451,                   0,             0.14742,             0.11905,            0.059294,           0.0096688,             0.15827,             0.02542,                   0,           0.0031399,           0.0031399,             0.07174
