               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.18706,            0.010292,                   0,            0.015639,            0.047619,           0.0054658,           0.0011234,              0.1835,           0.0069783,                   0,             0.00014,             0.00014,             0.09874
                   1,             0.18668,            0.011637,                   0,            0.009362,            0.083333,           0.0052449,          0.00096773,             0.18341,            0.006677,                   0,          0.00028997,          0.00028997,             0.09739
                   2,             0.18105,            0.016633,                   0,            0.010717,             0.02381,            0.003521,          0.00080995,             0.18186,           0.0071372,                   0,          0.00043985,          0.00043985,             0.09604
                   3,             0.18207,            0.016487,                   0,            0.013103,             0.02381,           0.0026805,          0.00046888,              0.1803,           0.0072033,                   0,          0.00058953,          0.00058953,             0.09469
                   4,             0.18156,             0.01252,                   0,           0.0091351,            0.020833,            0.001877,           0.0002749,             0.17993,           0.0074174,                   0,          0.00073896,          0.00073896,            0.093339
                   5,             0.18212,            0.015003,                   0,            0.010313,            0.017857,           0.0021819,          0.00037228,             0.18056,           0.0071053,                   0,          0.00088805,          0.00088805,            0.091988
                   6,             0.18211,            0.013938,                   0,           0.0096884,             0.02381,            0.002594,          0.00048388,              0.1798,           0.0072496,                   0,           0.0010367,           0.0010367,            0.090637
                   7,             0.18181,            0.015784,                   0,           0.0072776,            0.017857,           0.0028299,          0.00053778,             0.17853,            0.007044,                   0,           0.0011849,           0.0011849,            0.089285
                   8,             0.18224,            0.015471,                   0,           0.0055147,            0.017857,           0.0019377,          0.00031315,              0.1785,            0.007201,                   0,           0.0013325,           0.0013325,            0.087932
                   9,             0.17862,            0.015355,                   0,           0.0081321,             0.02381,           0.0028895,          0.00065043,             0.17804,           0.0069038,                   0,           0.0014794,           0.0014794,            0.086579
                  10,             0.17746,            0.016147,                   0,            0.006965,            0.017857,           0.0017832,          0.00030171,             0.17667,           0.0073205,                   0,           0.0016257,           0.0016257,            0.085226
                  11,             0.17564,            0.019816,                   0,           0.0074743,            0.014881,           0.0024994,           0.0004224,             0.17636,           0.0075659,                   0,           0.0017711,           0.0017711,            0.083871
                  12,             0.17594,            0.017108,                   0,           0.0054564,            0.014881,           0.0014244,           0.0003779,             0.17519,           0.0081106,                   0,           0.0019156,           0.0019156,            0.082516
                  13,             0.17679,            0.019829,                   0,           0.0061034,            0.011905,           0.0019472,          0.00047357,             0.17405,           0.0087716,                   0,           0.0020592,           0.0020592,            0.081159
                  14,             0.17203,            0.025988,                   0,            0.011953,            0.011905,           0.0020281,          0.00037495,             0.17285,           0.0097901,                   0,           0.0022018,           0.0022018,            0.079802
                  15,             0.17068,            0.025427,                   0,            0.005485,            0.047619,           0.0028376,          0.00063174,             0.17221,            0.010626,                   0,           0.0023432,           0.0023432,            0.078443
                  16,             0.17181,            0.021663,                   0,           0.0083585,            0.014881,           0.0021599,          0.00033554,             0.17087,            0.010588,                   0,           0.0024835,           0.0024835,            0.077083
